pattern,arm,timestamp,valid,smoke,duration_s,sla_violation_pct,replica_seconds,under_provision_replica_seconds,over_provision_replica_seconds,cpu_core_seconds,median_reaction_s,scale_ups,scale_downs,reversals,mean_ready,max_ready,p50_ms,p95_ms,p99_ms,delivered_requests,expected_requests,delivery_ratio,shed_requests,notes
bursty,static-peak,20260812T102325Z,True,False,1801,0.00,21720,0,11960,2094.8,0.0,0,0,0,12.00,12,1.75,2.43,2.49,971999,971600,1.000,0,
bursty,static,20260812T094920Z,True,False,1802,17.40,14480,1440,6160,2091.7,0.0,0,0,0,8.00,8,1.75,2.43,2.49,971999,971600,1.000,0,never reached 12 ready replicas after the step at t=300s; never reached 12 ready replicas after the step at t=800s; never reached 12 ready replicas after the step at t=1300s
bursty,hpa-cpu,20260812T120606Z,True,False,1801,2.49,13880,1200,5320,2085.5,30.0,7,6,5,7.67,15,1.75,2.43,2.49,970223,971600,0.999,0,
bursty,hpa-custom,20260813T063903Z,True,False,1801,4.42,11965,1260,3465,2087.3,32.5,12,12,5,6.61,12,1.75,2.43,2.49,971999,971600,1.000,0,
bursty,ours-threshold,20260812T105742Z,True,False,1802,3.31,12365,1410,4015,2088.1,0.0,9,9,5,6.83,11,1.75,2.43,2.49,971999,971600,1.000,0,never reached 12 ready replicas after the step at t=300s; never reached 12 ready replicas after the step at t=800s; never reached 12 ready replicas after the step at t=1300s
bursty,ours-predictive,20260812T214055Z,True,False,1801,1.10,14385,960,5585,2070.4,20.0,16,15,9,7.95,16,1.75,2.43,2.49,971999,971600,1.000,0,
bursty,ours-predictive-per-replica,20260812T221514Z,True,False,1800,1.94,13465,1215,4940,2077.2,32.5,6,12,5,7.46,13,1.75,2.43,2.49,971999,971600,1.000,0,
bursty,ours-predictive-nostab,20260812T184916Z,True,False,1800,13.02,10270,1805,2335,2026.6,67.5,27,23,21,5.69,15,1.76,2.44,2.50,971928,971600,1.000,0,
bursty,ours-predictive-per-replica-nostab,20260812T181455Z,True,False,1801,42.82,7685,4145,2070,1635.4,12.5,49,50,98,4.25,20,1.76,2.44,1010.68,970590,971600,0.999,0,never reached 12 ready replicas after the step at t=800s; never reached 12 ready replicas after the step at t=1300s; per_replica_rps and autoscaler_metric_value differ by 86% (median)
diurnal,static-peak,20260812T020258Z,True,False,1801,0.00,21720,0,7290,2907.8,0.0,0,0,0,12.00,12,1.75,2.43,2.49,1349999,1349700,1.000,0,
diurnal,static,20260812T012850Z,True,False,1802,40.33,14480,2490,2540,2895.9,0.0,0,0,0,8.00,8,1.75,2.43,2.49,1349999,1349700,1.000,0,never reached 9 ready replicas after the step at t=485s; never reached 10 ready replicas after the step at t=550s; never reached 11 ready replicas after the step at t=620s; never reached 12 ready replicas after the step at t=710s
diurnal,hpa-cpu,20260812T033309Z,True,False,1801,0.00,15570,370,1510,2894.1,55.0,6,9,2,8.60,12,1.75,2.43,2.49,1349999,1349700,1.000,0,
